javascript_size,avg_problems
3012,0E-20
229,0E-20
5319,0E-20
584833,0E-20
56,0E-20
3190,0E-20
20910,0E-20
364,0E-20
6212,0E-20
17057,0E-20
17019,0E-20
11294,0E-20
1606,0E-20
16095,0E-20
1670,0E-20
109040,0E-20
1877,0E-20
10874,0E-20
11291,0.35849056603773584906
6779,0E-20
1255,0E-20
32181,0E-20
5337,0E-20
486887,1.6666666666666667
2163,0E-20
223024,0E-20
1975,0E-20
9746,5.0000000000000000
9945,0E-20
2840,0E-20
2740,0E-20
30504,0E-20
219251,0E-20
8411,0E-20
1572,0E-20
1336,0E-20
1471761,0E-20
33805,0E-20
29266,0E-20
4296,0E-20
113883,12.0000000000000000
6114,0E-20
105992,0.83333333333333333333
39709,0E-20
422201,0E-20
291411,0E-20
694,0E-20
68148,0E-20
3905,0E-20
57003,0E-20
38566,3.0000000000000000
54783,0E-20
681,0E-20
19142,2.0000000000000000
165870,0E-20
2091,0E-20
5500,14.0000000000000000
11565,0E-20
1214767,0E-20
358607,0E-20
1535,0E-20
17870,0E-20
5449,0E-20
5561,10.0000000000000000
39688,0E-20
6009,0E-20
6684,0E-20
6116,0E-20
1218,0E-20
15417,0E-20
238152,13.0000000000000000
3160,0E-20
6588006,0E-20
4433,0E-20
11995,0E-20
615561,0E-20
12491,0E-20
6973,0E-20
25000,0E-20
8887,0E-20
15640,0E-20
1849,11.0000000000000000
47148,0E-20
9782,0E-20
32258,0E-20
1922,0E-20
1942,0E-20
1966,0E-20
3036,0E-20
17904,0E-20
1364,0E-20
1153496,4.5000000000000000
9788,0E-20
18625,0E-20
27603,1.00000000000000000000
34995,0E-20
5523,0E-20
226,2.0000000000000000
3788,0E-20
24855,0E-20
11546,0E-20
953,0E-20
7731,0E-20
2760,0E-20
66551,0E-20
5721,0E-20
3732,0E-20
136592,0E-20
14750,0.92857142857142857143
8928,0E-20
226,2.0000000000000000
6808,0E-20
3156,0E-20
8379,0E-20
2255,0.75000000000000000000
4445,0E-20
115372,15.3846153846153846
25834,4.0000000000000000
472,0E-20
10438,0E-20
15065,0E-20
34379,0E-20
6635,0.93750000000000000000
9681,0E-20
2121,0E-20
301042,0E-20
71466,0E-20
13281,0E-20
2566,0E-20
6140,0E-20
801,0E-20
2837,0E-20
2548,0E-20
315,0E-20
508,0E-20
33419,0E-20
10886,0E-20
2498,0E-20
1394,0E-20
5195,0E-20
60589,0E-20
240140,2.0000000000000000
1441,0E-20
2722,0E-20
21585,0E-20
8259,0E-20
6974,0E-20
6813,0E-20
2094685,5.0000000000000000
4064,0E-20
66453,0E-20
9357,0E-20
3293,0E-20
873,304.0000000000000000
191009,0E-20
4930,0E-20
38643,0E-20
38922,1.00000000000000000000
4336,0E-20
1960,0E-20
18375,0E-20
19150,0.50000000000000000000
15909,6.5000000000000000
17683,0E-20
560,0E-20
4243,12.0000000000000000
16905,0E-20
562,0E-20
4087,0E-20
20109,0E-20
133702,0E-20
57432,0E-20
14012,0E-20
158996,0E-20
6853,0E-20
4950,0E-20
431626,3.0000000000000000
2106,0E-20
1199,0E-20
230024,36.2500000000000000
3621,0E-20
42767,1.7727272727272727
6998,0E-20
18013,0E-20
686568,0E-20
88798,0.14285714285714285714
70021,0E-20
6717,0E-20
125070,1.00000000000000000000
2072,0E-20
102118,0E-20
1863,0E-20
6713,0E-20
7012,0E-20
7491,0E-20
1322,0E-20
20066,0E-20
118093,3.8148148148148148
1962,0E-20
11098,0E-20
508,0E-20
2787,0E-20
469142,0E-20
31332,0E-20
2954,0E-20
74008,26.3636363636363636
7112,0E-20
907,0E-20
4530,0E-20
39864,0E-20
1242,0E-20
7805,0E-20
65984,0E-20
250503,0E-20
52578,0E-20
487,0E-20
821,0E-20
2557306,52.0000000000000000
10799,0E-20
39508,0E-20
57200,0E-20
482,0.50000000000000000000
6505,0E-20
1264,0E-20
33166,0E-20
2617,0E-20
8923,0E-20
71868,0E-20
117276,0E-20
990,0E-20
13271,0E-20
20620,0.20000000000000000000
508,0E-20
508,0E-20
104027,0.75000000000000000000
4400,2.0000000000000000
9537,0E-20
3982,0E-20
15111,0E-20
10525,0E-20
42654,0E-20
4135,0E-20
244814,0E-20
74329,0E-20
102770,0E-20
36180,0E-20
9440,0E-20
838,0E-20
10956,2.0000000000000000
583,0E-20
40251,1.5000000000000000
58509,0E-20
111572,0E-20
16581,0E-20
9882,0.33333333333333333333
47613,0E-20
453,0E-20
4040,0.77142857142857142857
67456,0E-20
1569,5.0000000000000000
338138,0E-20
937,0E-20
58031,2.0000000000000000
140033,0E-20
12013,0E-20
18666,0E-20
244357,0E-20
201089,0E-20
1711,0E-20
20694,0E-20
2002,0E-20
53207,0E-20
13288,0E-20
1182,0E-20
13246,0E-20
4768,0E-20
28470,0E-20
984,0E-20
1437,0E-20
12703,0E-20
397,0E-20
2116,0E-20
