"";"index";"rule";"n";"value"
"3291";-30;"XSS through DOM";36;0,363636363636364
"3292";-30;"Unsafe jQuery plugin";18;0,181818181818182
"3293";-30;"HTML constructed from input";2;0,0202020202020202
"3294";-30;"XSS";23;0,232323232323232
"3295";-30;"Reflected XSS";0;0
"3296";-30;"XSS through Exception";0;0
"3297";-30;"Stored XSS";20;0,202020202020202
"3298";-29;"XSS through DOM";36;0,363636363636364
"3299";-29;"Unsafe jQuery plugin";18;0,181818181818182
"3300";-29;"HTML constructed from input";2;0,0202020202020202
"3301";-29;"XSS";23;0,232323232323232
"3302";-29;"Reflected XSS";0;0
"3303";-29;"XSS through Exception";0;0
"3304";-29;"Stored XSS";20;0,202020202020202
"3305";-28;"XSS through DOM";36;0,363636363636364
"3306";-28;"Unsafe jQuery plugin";18;0,181818181818182
"3307";-28;"HTML constructed from input";2;0,0202020202020202
"3308";-28;"XSS";23;0,232323232323232
"3309";-28;"Reflected XSS";0;0
"3310";-28;"XSS through Exception";0;0
"3311";-28;"Stored XSS";20;0,202020202020202
"3312";-27;"XSS through DOM";36;0,363636363636364
"3313";-27;"Unsafe jQuery plugin";18;0,181818181818182
"3314";-27;"HTML constructed from input";2;0,0202020202020202
"3315";-27;"XSS";23;0,232323232323232
"3316";-27;"Reflected XSS";0;0
"3317";-27;"XSS through Exception";0;0
"3318";-27;"Stored XSS";20;0,202020202020202
"3319";-26;"XSS through DOM";36;0,363636363636364
"3320";-26;"Unsafe jQuery plugin";18;0,181818181818182
"3321";-26;"HTML constructed from input";2;0,0202020202020202
"3322";-26;"XSS";23;0,232323232323232
"3323";-26;"Reflected XSS";0;0
"3324";-26;"XSS through Exception";0;0
"3325";-26;"Stored XSS";20;0,202020202020202
"3326";-25;"XSS through DOM";36;0,363636363636364
"3327";-25;"Unsafe jQuery plugin";18;0,181818181818182
"3328";-25;"HTML constructed from input";2;0,0202020202020202
"3329";-25;"XSS";23;0,232323232323232
"3330";-25;"Reflected XSS";0;0
"3331";-25;"XSS through Exception";0;0
"3332";-25;"Stored XSS";20;0,202020202020202
"3333";-24;"XSS through DOM";36;0,363636363636364
"3334";-24;"Unsafe jQuery plugin";18;0,181818181818182
"3335";-24;"HTML constructed from input";2;0,0202020202020202
"3336";-24;"XSS";23;0,232323232323232
"3337";-24;"Reflected XSS";0;0
"3338";-24;"XSS through Exception";0;0
"3339";-24;"Stored XSS";20;0,202020202020202
"3340";-23;"XSS through DOM";36;0,363636363636364
"3341";-23;"Unsafe jQuery plugin";18;0,181818181818182
"3342";-23;"HTML constructed from input";2;0,0202020202020202
"3343";-23;"XSS";23;0,232323232323232
"3344";-23;"Reflected XSS";0;0
"3345";-23;"XSS through Exception";0;0
"3346";-23;"Stored XSS";20;0,202020202020202
"3347";-22;"XSS through DOM";36;0,363636363636364
"3348";-22;"Unsafe jQuery plugin";18;0,181818181818182
"3349";-22;"HTML constructed from input";2;0,0202020202020202
"3350";-22;"XSS";23;0,232323232323232
"3351";-22;"Reflected XSS";0;0
"3352";-22;"XSS through Exception";0;0
"3353";-22;"Stored XSS";20;0,202020202020202
"3354";-21;"XSS through DOM";36;0,363636363636364
"3355";-21;"Unsafe jQuery plugin";18;0,181818181818182
"3356";-21;"HTML constructed from input";2;0,0202020202020202
"3357";-21;"XSS";23;0,232323232323232
"3358";-21;"Reflected XSS";0;0
"3359";-21;"XSS through Exception";0;0
"3360";-21;"Stored XSS";20;0,202020202020202
"3361";-20;"XSS through DOM";36;0,363636363636364
"3362";-20;"Unsafe jQuery plugin";18;0,181818181818182
